Node Number = 1528
Cell Number = 2900
       1        1      991      794        1
       2        1       82       63        2
       3       63      114        1        3
       4      331      991        1        4
       5        1      794       82        5
       6      114      331        1        6
       7      257      894      278        7
       8      257     1161      380        8
       9      380      980      257        9
      10      257      980      894       10
      11      657     1236      513       11
      12      372     1213        2       12
      13     1019     1196        2       13
      14        2     1213     1019       14
      15     1195     1246      258       15
      16      455      470      258       16
      17      470     1195      258       17
      18      804     1309      514       18
      19      514      971      804       19
      20      514     1128     1061       20
      21     1061     1262      514       21
      22      514     1309     1128       22
      23      514     1262      971       23
      24      770     1212      790       24
      25        3     1099      516       25
      26      516     1364        3       26
      27        3     1364      595       27
      28       91     1099        3       28
      29        3      141       91       29
      30        3      595      141       30
      31      259     1038      606       31
      32      606      672      259       32
      33     1341     1401      771       33
      34      771     1523     1380       34
      35     1027     1453     1059       35
      36     1283     1465     1343       36
      37       30       78        4       37
      38        4     1222       30       38
      39       78     1174        4       39
      40     1116     1222        4       40
      41      994     1116        4       41
      42        4     1174      994       42
      43      326      991      260       43
      44      260     1261      326       44
      45      331      441      260       45
      46      260      991      331       46
      47      260      441      397       47
      48      397     1261      260       48
      49      772     1364      969       49
      50        5     1088       22       50
      51       22     1020        5       51
      52      310     1143        5       52
      53        5     1020      310       53
      54      232     1088        5       54
      55        5     1143      232       55
      56      831     1333      261       56
      57      633     1026      261       57
      58      261     1333      633       58
      59      261     1026      411       59
      60      411      497      261       60
      61      497      831      261       61
      62     1131     1400     1029       62
      63        6     1157       35       63
      64       35     1452        6       64
      65        6     1452     1080       65
      66     1080     1483        6       66
      67      198     1157        6       67
      68        6     1483      198       68
      69      262     1212      770       69
      70      649     1209      262       70
      71      262      747      649       71
      72     1209     1212      262       72
      73      262      770      747       73
      74      518     1093     1090       74
      75      657     1037      518       75
      76      518     1090      657       76
      77     1145     1467     1030       77
      78       92      609        7       78
      79        7      757       92       79
      80        7     1191      616       80
      81      616      757        7       81
      82        7     1446     1191       82
      83        7      609      478       83
      84      478     1446        7       84
      85      263      861      834       85
      86      834      902      263       86
      87      263      902      446       87
      88      669     1084      519       88
      89      519      984      669       89
      90      519     1419      984       90
      91     1021     1419      519       91
      92     1247     1511     1031       92
      93        8      609      289       93
      94      289      931        8       94
      95        8      867      609       95
      96        8      931      621       96
      97      621      688        8       97
      98      237      867        8       98
      99        8      688      237       99
     100      901      912      264      100
     101      649      901      264      101
     102      264     1209      649      102
     103      726     1209      264      103
     104      866     1133      520      104
     105      520     1133      615      105
     106      776     1302      778      106
     107     1053     1367        9      107
     108        9      119       89      108
     109       89     1269        9      109
     110        9     1367      119      110
     111      634     1053        9      111
     112        9     1269      634      112
     113      770      790      265      113
     114      265      790      501      114
     115      501      969      265      115
     116     1132     1492      521      116
     117      947     1174      521      117
     118      521     1492      947      118
     119      802      865      777      119
     120     1036     1118       10      120
     121       10      824      541      121
     122       10      541      312      122
     123      312      571       10      123
     124      571     1036       10      124
     125      733      824       10      125
     126       10     1118      733      126
     127      266     1121      781      127
     128      659     1121      266      128
     129      266      694      659      129
     130      266     1350      694      130
     131      781     1226      522      131
     132      522     1226      789      132
     133      778     1302      883      133
     134      883     1450      778      134
     135     1450     1454      778      135
     136       13       71       11      136
     137       11      679       13      137
     138      317     1215       11      138
     139       11     1234      317      139
     140       71     1234       11      140
     141       11     1215      679      141
     142      267      334      315      142
     143      315      853      267      143
     144      267      343      334      144
     145      853     1410      267      145
     146      267     1015      343      146
     147      267     1410     1015      147
     148      908      976      779      148
     149      779     1232      908      149
     150      976     1481      779      150
     151       12     1376      852      151
     152       12      183      172      152
     153       12      852      183      153
     154      268     1092      827      154
     155      415     1410      268      155
     156      524     1051      566      156
     157      963     1052      524      157
     158      992     1051      524      158
     159      524     1052      992      159
     160      780     1361      845      160
     161     1050     1291     1036      161
     162     1036     1291     1118      162
     163       13      341       71      163
     164       13     1424      341      164
     165      679      970       13      165
     166      970     1424       13      166
     167      822      829      269      167
     168      269      877      822      168
     169      269     1190      877      169
     170      269     1473     1190      170
     171      525      943      866      171
     172      525     1320      943      172
     173     1121     1226      781      173
     174       50      677       14      174
     175       14     1009       50      175
     176       14     1102      676      176
     177      676      987       14      177
     178      677     1102       14      178
     179      987     1009       14      179
     180      270     1460      544      180
     181      813     1460      270      181
     182      389      813      270      182
     183      270     1251      389      183
     184      782     1201      796      184
     185       15      819      605      185
     186      605      635       15      186
     187       15      635      374      187
     188      374     1487       15      188
     189      405      819       15      189
     190       15     1487      405      190
     191      271      622      356      191
     192      356      972      271      192
     193      271     1134      622      193
     194      404     1134      271      194
     195      271      745      404      195
     196      271      972      745      196
     197       16     1277      515      197
     198       16      515      307      198
     199      307      444       16      199
     200       16     1223     1105      200
     201     1105     1277       16      201
     202      444     1223       16      202
     203      272      865      802      203
     204      382      865      272      204
     205      272     1014      382      205
     206      888     1517      528      206
     207      528     1517     1508      207
     208     1206     1334      784      208
     209     1230     1331      784      209
     210      784     1334     1230      210
     211     1380     1523     1296      211
     212     1296     1523     1445      212
     213      598      675       17      213
     214       17     1527      598      214
     215      604      642       17      215
     216       17      721      604      216
     217      642     1527       17      217
     218      675      721       17      218
     219     1039     1070      273      219
     220      273     1070      348      220
     221      348     1506      273      221
     222      273     1506      432      222
     223      432     1007      273      223
     224     1007     1039      273      224
     225     1124     1289      529      225
     226      529     1392     1124      226
     227      529     1441     1392      227
     228     1114     1362      785      228
     229     1041     1479     1362      229
     230     1041     1362     1114      230
     231     1114     1413     1041      231
     232      782      796       18      232
     233       18     1169      782      233
     234      381      704       18      234
     235       18      739      381      235
     236      704     1169       18      236
     237       18      796      739      237
     238      877     1190      274      238
     239      530      712      698      239
     240      698     1493      530      240
     241      858     1200      786      241
     242      894      980      786      242
     243      786     1252      894      243
     244     1200     1252      786      244
     245     1042     1363     1344      245
     246     1346     1363     1042      246
     247      621     1329       19      247
     248       19      671      621      248
     249       19      978      671      249
     250      466     1071       19      250
     251       19     1329      466      251
     252       19     1071      978      252
     253      546     1186      275      253
     254      275     1233      546      254
     255      678     1233      275      255
     256      531     1483     1080      256
     257      531      648      626      257
     258      531     1080      648      258
     259     1471     1483      531      259
     260       20     1510     1043      260
     261       20     1043      320      261
     262      320     1120       20      262
     263     1120     1503       20      263
     264       20     1503      620      264
     265      620     1510       20      265
     266      521     1174      276      266
     267      351      521      276      267
     268      276      408      351      268
     269      276     1344      408      269
     270      532     1110      820      270
     271      532      820      576      271
     272      532     1314     1110      272
     273     1044     1475     1299      273
     274       21      760      549      274
     275       21      549       53      275
     276       53      371       21      276
     277      371      868       21      277
     278       21      868      650      278
     279       21      650      454      279
     280      454      760       21      280
     281      279      294      277      281
     282      277      553      279      282
     283      294      917      277      283
     284      277     1458      553      284
     285      533      954      689      285
     286      689      730      533      286
     287      533     1141      954      287
     288      730     1007      533      288
     289      789     1226      915      289
     290       22     1422      527      290
     291      527     1020       22      291
     292       22     1088      561      292
     293      561     1422       22      293
     294      894     1047      278      294
     295      534      981      591      295
     296      641      981      534      296
     297      534      750      641      297
     298      534     1002      750      298
     299     1046     1297     1091      299
     300       23     1501     1050      300
     301      111     1183       23      301
     302       23      224      111      302
     303       23     1050      224      303
     304       23     1183      494      304
     305      494     1501       23      305
     306      279     1147      294      306
     307      596     1147      279      307
     308      279      553      368      308
     309      368      596      279      309
     310      703     1349      535      310
     311     1047     1373     1370      311
     312     1252     1373     1047      312
     313     1303     1437     1351      313
     314       24     1526     1332      314
     315       24     1332     1078      315
     316      876     1526       24      316
     317       24     1078      882      317
     318      742      876       24      318
     319       24      882      742      319
     320      280     1526      876      320
     321     1213     1526      280      321
     322      718     1300      280      322
     323      280      876      718      323
     324      280     1300      723      324
     325      723     1213      280      325
     326     1027     1059      536      326
     327     1059     1097      536      327
     328      792     1247     1031      328
     329      793     1247      792      329
     330     1048     1465     1283      330
     331     1048     1283     1184      331
     332       25     1396     1299      332
     333       25      893      706      333
     334      201     1396       25      334
     335       25      706      201      335
     336       25     1299      248      336
     337      248      893       25      337
     338      329     1135      281      338
     339      281      925      329      339
     340      281     1466      925      340
     341      281     1135      458      341
     342      458     1466      281      342
     343      537     1457      889      343
     344      889     1270      537      344
     345     1423     1457      537      345
     346      668     1000      537      346
     347      537     1270      668      347
     348     1000     1423      537      348
     349      793     1289     1124      349
     350     1124     1328      793      350
     351      793     1328     1247      351
     352     1058     1231     1049      352
     353     1231     1491     1049      353
     354       26     1426      896      354
     355      935      999       26      355
     356       26      896      443      356
     357      443      508       26      357
     358      999     1426       26      358
     359      508      935       26      359
     360      282     1217      919      360
     361      924      996      282      361
     362      996     1023      282      362
     363      282      919      506      363
     364      506      924      282      364
     365      538     1123      643      365
     366      722     1123      538      366
     367      538      754      722      367
     368      991     1223      794      368
     369       27      770      265      369
     370      265      969       27      370
     371      299      770       27      371
     372       27     1109      299      372
     373       27     1175     1109      373
     374      969     1175       27      374
     375      283     1368     1317      375
     376      283      890      308      376
     377      308      958      283      377
     378     1136     1368      283      378
     379      283     1317      890      379
     380      958     1136      283      380
     381      539      979      836      381
     382      795     1381     1063      382
     383     1063     1189      795      383
     384      795     1210     1069      384
     385     1189     1210      795      385
     386      293     1054       28      386
     387       28      918      293      387
     388       28     1522     1131      388
     389       28     1131      918      389
     390       28     1054      722      390
     391      722     1522       28      391
     392      815     1203      284      392
     393      284      958      308      393
     394      284     1203      958      394
     395      727      815      284      395
     396      540     1472      701      396
     397       29     1238     1045      397
     398       29     1181      295      398
     399      295     1238       29      399
     400       29     1045      129      400
     401      129      456       29      401
     402      456     1181       29      402
     403      285     1506      573      403
     404     1141     1506      285      404
     405      936     1141      285      405
     406      511      936      285      406
     407      824     1115      541      407
     408     1161     1497      797      408
     409     1012     1161      797      409
     410     1290     1367     1053      410
     411       30      188       78      411
     412      607     1368       30      412
     413       30     1222      607      413
     414       30     1368      188      414
     415      318      843      286      415
     416      286      719      318      416
     417      843     1518      286      417
     418      286     1518      926      418
     419      869     1231      798      419
     420     1360     1420     1310      420
     421       32      806       31      421
     422       31      442       32      422
     423      390      442       31      423
     424      524      566      287      424
     425      287      963      524      425
     426     1324     1440      287      426
     427      566     1324      287      427
     428      543     1101      544      428
     429      544     1460      543      429
     430     1321     1436      543      430
     431      832     1321      543      431
     432      543     1460      832      432
     433      543     1436     1101      433
     434     1055     1232     1137      434
     435       32     1521     1040      435
     436       32     1040      806      436
     437      862     1521       32      437
     438      442      862       32      438
     439      771     1401      288      439
     440      288     1523      771      440
     441      288     1453     1027      441
     442     1401     1453      288      442
     443     1101     1221      544      443
     444      544     1221     1220      444
     445      800     1518      843      445
     446      843     1270      800      446
     447      889      941      800      447
     448      800     1270      889      448
     449      790     1212       33      449
     450      350      790       33      450
     451       33      395      350      451
     452       33     1512      395      452
     453       33     1212     1198      453
     454     1198     1512       33      454
     455      542      849      289      455
     456      849      931      289      456
     457      545      988      893      457
     458      545     1326      988      458
     459       34     1350     1319      459
     460       34     1319      557      460
     461      557     1111       34      461
     462       34     1111       70      462
     463       70      694       34      463
     464      694     1350       34      464
     465      290     1241      774      465
     466      782     1169      290      466
     467      290      774      305      467
     468      305      782      290      468
     469     1169     1244      290      469
     470      290     1244     1241      470
     471      637     1186      546      471
     472      546      933      637      472
     473      686      933      546      473
     474      546     1233      686      474
     475       35     1306      897      475
     476       35      897      388      476
     477      388     1452       35      477
     478     1157     1306       35      478
     479     1045     1238      291      479
     480      299     1109      291      480
     481      291      406      299      481
     482      302     1045      291      482
     483      291     1109      302      483
     484      291     1238      406      484
     485     1085     1459      547      485
     486     1394     1472      803      486
     487      803     1513     1394      487
     488      803     1472      985      488
     489     1505     1513      803      489
     490     1059     1453     1082      490
     491      309      608       36      491
     492       36     1441      309      492
     493      608     1493       36      493
     494     1258     1441       36      494
     495       36     1493     1258      495
     496      885      899      292      496
     497      292     1278      885      497
     498      437     1295      292      498
     499      292      480      437      499
     500      292      899      480      500
     501      292     1295     1278      501
     502      548     1279      993      502
     503      751     1292      548      503
     504      548      993      751      504
     505      974     1309      804      505
     506       76       99       37      506
     507       37      511       76      507
     508       99     1248       37      508
     509       37      687      139      509
     510      139      511       37      510
     511       37     1248      687      511
     512      293     1391      560      512
     513      560      663      293      513
