Node Number = 1528
     278533.048298      506589.753154     221.5027
     265226.714512      449648.021474      25.9015
     308504.391412      511801.410607     303.4849
     259253.788346      467421.898213      17.3181
     264910.249729      450755.894728      19.2583
     269843.275555      503976.679478     247.5887
     272207.853665      526852.952334     284.5657
     272289.372804      521330.842260     314.9269
     301983.469071      511139.206826     427.2843
     242546.191964      501203.268611    1281.4291
     261337.117099      516713.290216     223.9397
     291767.292442      531402.283527     841.9744
     260356.480279      519121.440282     247.6049
     253402.738307      527452.961887     611.2272
     245752.701452      465248.079199     219.5693
     282259.796633      501508.715568     284.0685
     298665.353527      470100.413832     392.0774
     284501.027889      515494.299683     414.2859
     273492.488874      516362.165959     246.0163
     246311.039159      458647.011475     150.7171
     266494.181097      451178.637744      27.9704
     264830.329321      450461.983511      21.6191
     237814.952283      495780.668842    1582.0477
     264909.746832      449794.364224      27.9915
     247161.920496      492645.893610     714.6236
     289679.791862      455925.021363     483.7494
     307133.317181      519767.975589     387.9580
     297056.681355      493270.658699     439.3516
     299456.309208      523864.619693     488.5177
     256664.107831      468012.367517      38.5513
     317930.446209      493185.365502     172.2887
     315929.044569      494586.431226     165.8656
     313633.767779      521792.039036     342.2333
     274405.727364      483114.224724     183.3713
     267387.351422      503827.797909     261.8797
     264365.421763      458952.441915      48.7609
     256445.593600      492048.122709     170.4693
     252327.463361      454732.115390      39.1182
     303147.795878      496073.032298     348.1942
     265649.656302      449751.904217      25.3767
     267425.560060      450802.338910      29.1131
     294827.797037      465932.513223     378.3326
     269132.501193      474692.103492      80.5391
     296931.296050      510879.650923     567.4349
     252507.679645      478399.568464     170.8564
     265318.051353      451296.265725      19.8428
     239799.701017      491853.499538    1334.7405
     240804.744473      467920.627279     511.8703
     265434.118699      449850.565755      24.1011
     250868.410760      527191.041470     821.3005
     279828.857912      481997.961296     129.4873
     308995.052534      457206.799264     358.7626
     266351.496283      450829.145218      26.5600
     275363.039206      449622.736348     136.5167
     293734.986804      489257.645036     425.3155
     282394.555361      449605.196147     513.6573
     243629.524965      471403.679144     321.2511
     299605.941024      528210.643629     476.6939
     287902.612918      500218.827607     411.4504
     309433.420201      452311.852685     328.7142
     286447.458613      521872.267151     382.3715
     265222.086602      452699.182867      25.8385
     276052.388239      506300.091167     203.2501
     267871.449732      476661.193316     117.3352
     265869.311551      461413.717786      26.5677
     304383.607449      528951.482559     472.4477
     280129.281629      465431.134470     171.8505
     293719.546918      458226.598461     429.1527
     235572.645030      499932.153029    1822.9816
     275516.010046      480848.573271     132.1093
     262606.325945      518742.366209     246.5662
     253265.178731      464097.282672      28.6487
     241741.339828      496109.710842    1256.0321
     265569.259837      451918.281040      22.9395
     257916.255297      514612.004227     190.0268
     259122.383156      492328.474122     172.0773
     268433.591215      529308.291240     191.6032
     258511.141675      469826.302318      21.5145
     290333.198988      505943.345932     556.0822
     244751.299583      520455.528307    1088.0439
     294436.809618      510588.692786     629.9368
     277403.704131      504285.333200     200.5398
     267435.169517      449642.512490      33.3541
     288448.853367      517696.397526     514.3595
     262604.582818      450473.390431      39.2083
     311816.946169      484384.919928     244.2518
     256918.126819      488263.074532     162.6194
     281394.341400      496335.057077     273.6931
     303798.075467      509181.299763     384.7059
     259530.504281      507741.129059     279.8521
     309043.875598      509814.962611     281.8045
     274344.511172      525231.426989     355.3573
     296673.967854      454044.916549     485.1261
     257799.787985      480181.761302     178.3973
     262292.236619      451491.647574      38.1522
     309786.857848      506139.444060     286.3529
     307861.260936      494745.508335     313.6910
     284550.047284      468148.173512     285.3848
     258054.427056      490180.230393     163.5395
     261917.336680      463858.259483      29.0676
     243539.969941      451789.563521     194.4892
     311219.902663      472629.694394     205.2345
     269167.465236      491928.246523     149.0481
     265842.258304      463713.243616      34.6811
     242569.853704      475872.985355     545.1991
     258458.931214      476191.091214     144.0644
     288028.160083      497659.843054     401.1364
     267846.776397      451774.909188      18.1357
     267915.070142      451073.342625      24.2244
     299505.287755      454136.045561     461.2007
     240128.291543      494323.320362    1360.5984
     272766.733042      476501.702151      10.0140
     266411.600958      453110.223346      23.1683
     277035.135092      508562.040502     216.8365
     250732.860683      495590.217971     482.1191
     252846.316553      488852.815050     218.7438
     266687.030731      453853.615759      13.2143
     248092.000229      501610.449869     813.5558
     304439.820096      511425.701545     361.0997
     294253.713002      483108.513433     411.8719
     310370.497000      530972.020000     469.6447
     276000.976471      455549.426278     148.8548
     295910.369058      474481.287813     364.9055
     301881.331736      472828.040520     369.6727
     306493.881865      515539.185186     348.3557
     275282.650981      510572.198841     229.0460
     260601.834242      529685.645843     238.0669
     317870.600423      466163.167985     210.1470
     298092.926477      521691.886925     529.0092
     271442.048043      487333.285105     139.3216
     299423.614527      465598.056764     414.3599
     259194.985002      482515.803341     200.2506
     261351.083256      451254.717470      39.3331
     261432.576746      523335.631233     283.1688
     286400.137535      459320.271350     347.5083
     305747.980485      526577.693334     458.8774
     313968.097616      498492.508600     238.4888
     243997.854362      496600.303862    1072.3753
     254921.224034      494029.285082     194.8848
     268775.730331      454265.068332      31.6492
     311229.518642      511084.376978     253.7105
     269949.552830      466045.372678     174.2386
     265500.459438      449813.423910      24.5538
     315682.472642      509592.824304     166.5757
     273720.982667      474560.903754      15.1988
     280741.959163      462706.765213     169.2798
     291463.807773      479332.051622     369.0028
     241966.048160      455892.522258     405.1736
     268454.796646      452334.670806      20.9746
     265289.754510      450538.138339      19.9821
     294002.862203      476199.661904     359.1135
     250088.730414      477119.405342     175.1177
     262255.310619      507982.856255     261.3747
     266934.339057      512850.245018     229.3502
     292486.627854      460193.051939     404.3306
     265545.946553      449934.101094      24.3410
     264525.527868      449842.429815      32.9722
     281561.824153      493677.393145     268.5613
     256457.879981      482067.141862     186.9140
     263985.161334      449871.577873      33.7372
     293814.929450      508189.257273     613.0982
     301168.204834      477421.999534     382.2173
     244794.960643      524712.020566    1306.3716
     237638.432310      474499.005461     877.7922
     317845.153949      458055.679997     260.7824
     265713.099552      449775.981451      25.5596
     277633.008469      496063.867028     197.9484
     256975.307755      508319.823675     265.9938
     257562.719253      462952.154656      21.8635
     296638.444446      515114.800457     595.9561
     264621.889577      449649.530207      35.1452
     289269.813307      531409.732450     893.4334
     306561.699084      480761.619866     292.5727
     235546.481471      491811.764585    1656.0653
     302772.398833      475164.764419     354.0214
     269197.487541      497114.955807     231.4172
     266645.059390      483208.656797     179.6222
     269197.807925      453071.751757      28.4466
     263735.028644      450072.666396      33.4294
     252241.065808      473280.015693      34.4252
     311768.189324      467529.290017     273.6864
     267881.018617      450479.714719      31.7167
     290501.746370      529434.379566     411.6503
     263387.476896      529419.832823     219.7539
     286404.404661      524438.166849     358.8031
     264121.833780      492208.138340     171.8428
     284027.396274      483768.382194     245.9057
     255865.894322      470324.734520      40.5800
     265670.013333      450073.740667      24.3907
     257668.076645      529325.651446     277.5653
     257184.904845      454224.826083      36.8188
     275957.229068      459666.222147     176.6100
     289524.508529      487737.960014     405.8248
     281414.540131      483862.824575     165.0060
     265618.289284      449898.417378      24.7594
     296401.841437      478812.025524     394.9609
     257073.759370      522096.396600     348.2590
     271312.939929      501813.025748     250.5487
     242510.741594      487990.754574    1029.3664
     263801.330371      505831.530712     246.6921
     248755.532098      490805.693439     557.5820
     264154.057844      451383.980436      22.8374
     265350.495828      450223.049062      21.8356
     270609.025320      494947.069161     177.2271
     290240.597270      513427.402938     622.6235
     267417.407860      508412.485962     249.9821
     277257.982144      491208.962701     177.3523
     290124.863419      494210.650510     420.4333
     241919.322681      458497.553885     525.0620
     265360.365253      450972.032880      19.4628
     250677.038700      531524.837750    1688.6083
     263261.132427      475891.226583     149.4755
     287478.922597      509716.417146     541.6703
     317954.157992      503615.953731     205.8746
     265543.136439      451520.295346      21.9103
